Person,FuD-ID,Feld,VIAF-Nummer
"Bonaparte, Hortense (Siehe Beauharnais)",3455,viaf,http://viaf.org/viaf/315678692
"Bonaparte, Jérôme",2612,viaf,http://viaf.org/viaf/73168627
"Bonaparte, Joseph, König von Neapel, später von Spanien",2585,viaf,http://viaf.org/viaf/54244826
"Bonaparte, Laetitia, verh. Wyse",2878,viaf,http://viaf.org/viaf/89579490
"Bonaparte, Louis Napoléon (Siehe Napoléon III)",6363,viaf,http://viaf.org/viaf/88934487
"Bonaparte, Louis, König von Holland",2891,viaf,http://viaf.org/viaf/19800061
"Bonaparte, Lucien",2662,viaf,http://viaf.org/viaf/46869293
"Bonaparte, Maria Letizia geb. Ramolino (Mutter von Napoleon I.)",6659,viaf,http://viaf.org/viaf/29542530
"Bonaparte, Napoléon (Siehe Napoléon)",3456,viaf,http://viaf.org/viaf/106964661
"Bonaparte, Napoleon François Charles Joseph, Kronprinz von Frankreich, König von Rom",2590,viaf,http://viaf.org/viaf/103645458
"Bonaparte, Pauline, verh. Borghese",1900,viaf,http://viaf.org/viaf/17232002
"Bonaparte, Princesse Julie",3844,viaf,http://viaf.org/viaf/198070882
"Bonaparte, Zénaïde Laetitia Julie",2613,viaf,http://viaf.org/viaf/107162790
"Bonchamps, Charles de",6486,viaf,http://viaf.org/viaf/45765117
